# Train        Test        
  154.295994    32.515579 
   86.329761    43.382465 
  143.843915    35.932392 
  142.335145    41.631298 
  111.966401    45.172024 
  109.992400    39.691101 
  110.523902    43.927826 
  206.542535    59.813538 
  166.805923    51.181103 
  198.825104    43.676315 
  127.402612    54.356373 
  113.950825    57.847008 
  196.706857    44.814568 
  102.360387    36.244297 
  122.249290    31.110264 
  185.647053    47.002129 
   81.832027    55.027843 
  191.678614    56.804802 
  148.354069    46.502190 
   95.740869    39.123558 
  116.634809    41.261219 
  145.202996    51.494804 
   82.762380    56.716427 
  169.527506    46.892765 
  134.557369    38.862183 
  109.961470    47.399132 
  100.085310    53.945969 
  214.790922    50.045685 
  127.630465    50.223675 
  164.906084    41.751644 
  145.231468    29.027605 
  118.271269    32.897148 
  142.044960    43.451145 
  109.901807    50.593231 
  153.741324    50.507492 
  128.035961    49.730297 
  107.523321    45.473938 
  163.101855    35.250423 
  107.493571    34.363949 
  192.643275    32.713169 
  143.769272    34.610256 
  108.646733    48.082726 
  115.329607    56.471180 
  156.995505    42.897552 
  122.692696    37.374710 
  101.207645    41.596188 
  177.858286    45.033451 
   96.531832    44.880630 
  115.628282    57.206375 
   87.689563    72.812164 
  162.292762    48.256973 
   96.049080    47.213348 
  109.022899    56.128658 
  113.545395    43.422436 
  102.617053    50.898430 
  104.819478    51.239258 
   94.645924    36.183678 
   92.627525    45.255100 
  162.340209    50.234566 
  110.036173    54.167362 
  106.311892    51.005405 
  154.800482    60.648586 
   88.342461    48.565605 
   80.848669    39.904934 
  139.747455    40.190731 
  143.054812    30.267212 
  101.161892    38.805359 
  134.163550    36.685898 
   97.970925    44.162174 
  101.527509    43.768715 
   88.128571    54.759586 
   99.942847    46.695095 
   97.438836    38.482647 
  120.676093    34.641441 
  128.866187    34.088776 
  114.067193    32.976608 
  178.743005    34.560394 
  122.239582    40.224911 
  145.635811    36.145451 
   84.749153    32.687866 
  116.115009    37.695862 
   93.555747    40.366955 
  102.793820    39.542679 
  119.671875    30.299782 
  165.258433    30.430883 
  109.839244    29.151752 
  172.750046    27.813265 
  134.781494    31.334993 
  176.475385    39.019051 
  179.610716    36.232975 
   82.604965    42.110622 
  111.718169    44.711906 
   80.760616    36.868313 
  109.959859    34.309982 
  116.439847    29.798107 
  108.093458    35.616749 
  151.822201    40.503746 
  157.620578    34.321590 
  124.260865    27.856346 
  102.762614    22.623697 
   96.118937    28.729586 
   73.011417    33.822842 
  138.241173    42.591206 
  123.964397    36.857693 
  116.783523    22.712374 
  136.360344    26.399885 
  106.053762    25.219599 
  120.342499    25.404921 
  137.198586    32.561989 
  108.359067    46.966240 
  151.803244    46.658852 
  102.763832    39.569603 
  136.420076    33.802097 
   97.523149    34.520370 
   94.087658    45.979538 
  119.125749    41.905048 
  113.690275    29.536943 
  109.160399    26.779558 
  158.875045    28.407278 
   71.144219    28.904387 
  191.847773    53.121216 
  107.396470    54.270630 
   77.132297    41.139290 
  117.235714    35.871040 
  108.731363    28.926847 
   78.498959    38.653080 
  107.613951    48.152637 
   90.222366    40.238720 
   79.547934    36.597099 
  149.190170    33.868229 
  139.818649    29.393946 
  121.840747    27.574190 
  126.360222    35.813641 
  116.700708    44.979717 
   95.219572    39.754082 
   72.846302    32.689411 
  116.472294    32.243176 
  108.148091    27.960876 
  139.076983    26.111681 
  145.663797    33.181244 
   96.856492    39.043636 
  112.851257    44.841362 
   75.780204    35.616577 
  153.212911    37.792023 
  123.931430    29.666515 
   75.173623    35.947990 
  129.441633    40.233204 
   90.719673    43.218872 
  190.098689    44.180054 
   82.317210    45.400436 
  114.721482    40.483898 
   90.288120    45.132698 
  114.547549    43.315681 
   96.845198    36.242085 
  145.330912    40.651005 
  107.579197    34.772308 
   89.149174    32.332230 
   64.854744    38.921177 
  113.552404    39.300190 
   92.830301    38.972054 
  197.042016    34.325867 
  130.817089    34.976643 
   84.050849    33.434780 
   94.169569    37.460712 
  132.924342    38.413021 
  143.234645    41.902981 
  134.435027    32.519554 
  130.810791    40.455173 
  132.500191    35.511745 
   88.420904    35.651531 
   88.645312    31.060909 
  106.244941    42.489521 
  107.512644    42.828022 
   95.021449    44.314510 
  144.511305    43.838749 
   96.969342    42.330811 
  191.872802    39.724205 
  113.877215    42.591820 
  104.659646    37.900185 
  114.389244    48.429382 
   90.810709    41.463120 
  120.568137    34.833069 
  144.358263    39.791500 
  122.038599    43.986847 
  102.857670    46.512127 
  199.025062    49.991558 
  112.326040    35.939560 
  112.692164    32.746017 
  218.696580    38.505760 
   68.826645    42.908661 
   95.301813    50.684193 
  154.110776    41.242832 
  113.811899    35.692043 
   87.417580    36.846603 
   96.461273    30.944336 
   98.622551    40.113743 
  103.579671    42.777988 
   98.780742    39.361244 
  100.151335    34.609371 
  114.790425    38.487450 
  179.081681    30.935345 
  143.530993    26.535297 
  100.989734    31.996073 
   95.326001    36.099712 
  126.513771    49.624428 
   83.913177    59.321812 
  112.515161    60.613094 
   86.360151    47.275486 
  142.636702    40.469666 
  102.309875    36.301907 
   67.444393    36.071114 
  155.113573    33.835186 
   95.133849    33.526009 
  120.703050    29.254969 
   91.283406    36.012009 
  204.430519    38.264721 
  149.705359    49.141178 
   96.747232    62.352924 
  133.392205    42.740871 
  118.860253    30.813694 
  117.235180    28.475103 
   91.150540    26.432884 
  104.308077    40.904232 
   61.845180    47.786118 
  191.495219    45.229626 
   92.511020    43.827663 
   79.355232    42.165455 
  213.665131    39.267273 
  109.395311    40.279640 
  104.469323    33.646412 
   96.487780    35.458107 
  143.098727    23.984699 
  135.563838    27.661400 
  114.240744    38.755867 
  145.599807    34.158619 
  100.637945    27.905128 
   92.195047    26.815495 
  186.574010    31.490549 
   97.165184    35.763916 
  126.905562    34.060120 
   97.072665    32.698753 
  112.070146    32.511585 
   73.595834    31.807865 
   88.701744    31.667068 
   76.427615    35.780865 
   75.423435    35.076153 
  128.159079    33.341873 
  147.618014    38.580082 
  104.878838    30.015234 
  152.957833    26.735188 
  105.276666    27.628181 
  253.536006    36.428814 
   61.681298    40.099449 
  142.653726    33.831955 
  124.567468    24.673925 
  100.317357    25.428013 
   91.599646    40.401878 
   85.285919    58.097179 
  104.810161    55.871037 
   77.491448    43.674286 
  106.891810    46.534683 
  110.269807    39.123989 
  115.744878    34.979370 
  144.530286    41.318230 
   72.619539    47.187557 
   69.517739    46.368801 
  102.686187    39.731651 
  152.147307    35.368931 
   92.360309    30.492296 
  120.345886    38.142712 
  100.152601    40.487785 
   93.397823    42.949760 
  163.534258    46.903896 
   94.211891    47.883766 
   79.531643    52.022236 
  109.484904    48.564102 
   80.092241    36.338161 
   75.071096    32.809994 
  105.380041    22.240049 
  155.773927    25.320656 
  112.544821    35.464245 
  111.841656    41.927406 
   88.444938    34.570175 
   65.301167    31.636543 
   96.111716    29.802549 
  103.369172    31.648933 
   99.921548    30.560526 
   66.224568    43.391048 
   94.611623    44.171799 
  106.943675    30.459684 
   88.466454    29.643284 
  105.477667    27.472239 
  127.151102    25.872528 
  115.593845    24.004944 
  158.208529    31.238752 
  129.228315    39.963108 
  158.864130    36.555771 
  111.436969    35.207561 
  123.645274    35.359497 
  123.529306    35.227245 
  106.963542    48.809616 
  111.958215    52.327686 
  103.265688    39.666882 
  193.179580    30.459988 
  166.051600    25.767132 
  149.586021    35.907299 
   88.654958    52.816460 
   71.339628    52.288776 
   79.481276    48.772114 
   96.057185    50.715759 
   76.360448    54.815292 
   64.950447    47.046261 
   99.640563    39.293480 
  107.415904    38.770519 
  112.422410    38.650539 
   90.523459    34.585075 
   84.861852    33.235191 
  132.738840    31.262396 
  118.397516    31.101505 
   88.297039    29.397911 
  142.194793    36.420090 
  139.878901    33.096256 
   99.846180    31.253401 
   79.870916    29.925539 
  164.427987    32.854759 
  126.745125    38.201557 
  115.720243    37.417751 
   76.931437    38.112522 
  109.067234    39.176731 
  118.282766    35.044998 
  113.370002    33.307938 
   79.970001    30.473064 
   85.315264    26.775225 
   95.734790    30.601292 
  107.670363    33.665878 
  115.284016    34.269161 
  166.510350    45.730713 
   77.844371    48.453686 
  104.479637    37.559544 
  118.561223    26.862522 
  187.886545    23.855518 
   95.473123    28.552435 
   93.075738    38.925568 
  135.708798    41.219379 
  165.855166    39.882061 
  123.315929    40.585518 
  185.664271    32.011951 
  127.497264    25.743538 
   82.251962    27.215816 
   87.406165    35.575558 
  157.674752    38.522144 
  170.063452    30.906328 
  122.445166    30.503265 
  103.763203    28.514837 
   98.104361    25.293255 
   91.396709    25.657284 
  123.099216    34.184834 
   71.970372    40.478561 
   85.545632    46.074615 
  136.835792    36.284855 
  101.420066    29.195114 
   87.290330    25.216827 
   73.165311    29.723516 
  110.631739    41.519844 
  161.851293    55.316711 
   82.150515    52.593384 
   93.951575    43.683628 
  142.422748    39.565086 
  111.642969    46.069923 
   90.737961    34.541183 
  127.486464    34.761795 
  121.562359    30.501524 
  109.767572    35.213444 
  101.090866    40.897945 
   80.039125    40.733418 
  102.117298    29.218195 
   76.265287    28.462088 
  171.737076    30.008360 
  228.598116    26.099823 
   70.276502    25.683542 
  162.468951    31.944040 
  112.362231    35.587048 
  119.370866    42.461670 
   79.015386    40.449047 
   85.828165    35.012238 
  146.693362    34.914238 
  199.038730    30.778070 
  116.381199    25.133160 
   79.763481    35.399311 
  130.800352    30.111319 
   79.377029    32.770531 
   98.680483    34.752869 
   68.078296    28.473642 
   66.151363    28.018730 
  107.041390    33.203636 
  120.300532    29.783119 
  155.553934    27.820166 
  157.837362    36.026104 
  133.335951    38.000725 
   86.879554    34.445461 
  137.693808    27.453913 
   80.066024    25.036861 
   75.601967    27.454971 
   81.072310    43.000134 
   95.308284    41.015705 
   70.891133    37.111637 
  124.267910    26.855066 
  116.880997    28.076958 
  120.431865    26.456671 
  124.689751    24.551355 
   78.559650    29.441896 
   73.378997    41.079620 
  123.921465    39.044926 
  103.521289    34.945721 
   89.023005    26.173704 
   73.362371    33.717682 
   73.521222    37.204330 
  135.690255    46.253708 
   99.616487    44.167221 
   81.801935    32.326408 
  106.553607    26.192596 
  169.298533    18.720322 
   78.074721    21.257341 
  112.372266    38.989826 
   90.755374    47.058598 
  124.251409    40.323765 
  103.039212    29.250095 
  141.684662    22.338638 
  138.878298    24.471251 
  132.089969    31.344105 
  109.284650    44.595352 
  102.479246    36.829239 
  145.935640    23.306509 
   96.657371    22.407784 
   86.220938    31.616030 
  126.393244    45.926197 
   79.071480    42.894722 
   82.123700    32.545223 
   90.609096    32.311234 
   97.881419    32.135689 
   90.367838    31.032282 
   78.125903    37.194622 
   97.704069    32.557858 
   97.765215    32.874153 
   71.125960    33.947311 
   83.367383    30.041143 
   68.000728    30.765388 
  106.082434    42.604504 
   84.910405    41.820984 
  120.171102    28.688177 
   69.473509    28.709078 
  139.374601    28.470242 
   88.254800    28.639849 
  217.721304    31.153309 
  104.544686    27.813824 
  134.866374    33.958530 
  137.198313    46.874363 
   89.832837    40.173450 
  109.991730    37.433193 
  111.241657    32.321808 
   87.370680    39.949425 
   95.437241    39.825008 
  154.899266    27.556717 
   73.779364    31.794737 
  108.051233    41.498188 
  139.189307    44.547489 
  116.004095    32.297852 
   85.510750    33.025436 
   98.495659    30.596041 
  107.436184    35.134018 
   72.107560    33.557266 
   94.886025    28.121178 
   60.788185    28.840651 
   89.040800    32.100109 
  106.362245    43.420158 
   82.257223    42.620380 
  102.381593    41.159889 
   70.686190    40.259136 
  107.678053    37.320034 
  120.911662    30.320389 
   58.221605    44.213902 
  104.212003    41.699799 
  145.265740    27.259813 
